Vernier Format 2	
radio long boy.txt 1/8/2019 9:36:2	
Run 1	
Time	Radiation
T	R
min	Counts
	
0.5	721
1	722
1.5	749
2	694
2.5	743
3	712
3.5	726
4	679
4.5	707
5	679
5.5	697
6	703
6.5	700
7	647
7.5	718
8	666
8.5	696
9	674
9.5	636
10	637
10.5	654
11	641
11.5	676
12	660
12.5	669
13	685
13.5	655
14	615
14.5	640
15	585
15.5	630
16	624
16.5	646
17	634
17.5	588
18	594
18.5	616
19	588
19.5	598
20	562
20.5	613
21	633
21.5	617
22	580
22.5	541
23	547
23.5	546
24	568
24.5	554
25	600
25.5	564
26	542
26.5	507
27	526
27.5	613
28	492
28.5	569
29	484
29.5	575
30	536
30.5	543
31	528
31.5	572
32	492
32.5	469
33	495
33.5	486
34	508
34.5	477
35	458
35.5	477
36	523
36.5	476
37	490
37.5	476
38	437
38.5	474
39	499
39.5	462
40	454
40.5	447
41	505
41.5	454
42	489
42.5	424
43	467
43.5	460
44	434
44.5	440
45	454
45.5	448
46	412
46.5	425
47	422
47.5	411
48	403
48.5	422
49	436
49.5	400
50	417
50.5	411
51	392
51.5	389
52	396
52.5	388
53	378
53.5	362
54	394
54.5	382
55	370
55.5	366
56	377
56.5	390
57	378
57.5	387
58	356
58.5	409
59	365
59.5	393
60	356
